geoName,Coronavirus disease 2019,COVID-19 vaccine,Side effect,Mental health,Housing,Economy,Unemployment,Mask,Social distancing,Economic impact of the COVID-19 pandemic,Social anxiety disorder
Alabama,60,56,88,68,36,49,65,70,38,0,70
Alaska,90,69,72,100,57,38,34,76,65,0,65
Arizona,84,76,73,74,35,56,44,77,49,0,81
Arkansas,66,51,86,70,38,48,37,68,51,0,65
California,78,78,69,68,47,64,25,80,65,69,84
Colorado,84,76,67,76,43,51,29,86,66,0,61
Connecticut,86,93,83,72,39,51,36,84,76,0,68
Delaware,82,88,83,70,43,54,45,82,62,0,100
District of Columbia,85,81,58,91,100,100,47,78,100,0,77
Florida,72,77,76,60,31,65,41,71,49,39,67
Georgia,64,61,73,60,36,63,38,67,49,49,70
Hawaii,97,84,70,56,65,58,71,100,71,0,79
Idaho,85,59,74,73,50,47,35,71,64,0,69
Illinois,82,79,73,65,35,49,26,79,68,46,80
Indiana,71,61,80,66,35,54,60,76,55,45,68
Iowa,76,66,72,76,31,43,35,74,61,0,72
Kansas,70,59,78,81,34,47,28,78,60,0,76
Kentucky,66,60,86,69,36,49,45,73,48,0,70
Louisiana,57,50,81,71,37,51,53,64,36,0,70
Maine,95,87,81,74,42,46,44,85,83,0,72
Maryland,83,87,78,79,44,58,51,83,68,73,94
Massachusetts,91,99,77,73,50,49,53,85,78,51,87
Michigan,84,72,81,67,36,49,83,81,63,46,68
Minnesota,92,75,72,88,44,46,53,86,76,0,66
Mississippi,59,50,90,72,37,54,54,63,34,0,97
Missouri,68,65,77,69,34,42,45,78,55,0,62
Montana,88,56,75,86,50,38,35,76,61,0,25
Nebraska,71,60,79,77,32,43,23,76,53,0,67
Nevada,71,65,68,65,38,51,100,77,56,0,71
New Hampshire,90,79,80,85,38,45,59,87,78,0,76
New Jersey,87,100,77,61,38,58,89,80,74,62,83
New Mexico,86,65,75,73,39,53,67,83,53,0,71
New York,75,88,75,69,45,56,64,74,66,100,75
North Carolina,64,60,79,65,37,52,45,70,49,32,70
North Dakota,72,50,77,76,35,47,33,71,55,0,37
Ohio,79,73,79,66,34,45,81,78,57,42,72
Oklahoma,62,52,83,76,38,48,57,70,44,0,66
Oregon,87,85,74,77,45,46,70,91,75,0,72
Pennsylvania,79,90,82,73,35,49,70,82,62,38,75
Rhode Island,86,89,82,77,45,51,61,84,69,0,95
South Carolina,61,57,82,73,37,50,60,68,46,0,51
South Dakota,75,54,74,74,39,42,22,69,77,0,89
Tennessee,65,56,83,67,34,45,28,71,48,0,56
Texas,69,69,72,58,31,68,35,69,49,52,72
Utah,79,62,70,73,48,50,19,76,63,0,78
Vermont,100,91,82,81,59,50,40,89,82,0,43
Virginia,77,75,81,73,41,59,30,78,68,77,73
Washington,85,86,70,80,42,47,65,85,73,34,64
West Virginia,77,60,100,73,29,46,50,73,55,0,74
Wisconsin,80,69,75,77,36,43,61,83,70,0,74
Wyoming,81,50,71,70,40,44,21,71,63,0,59
